State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio,Population
Andaman and Nicobar,10766,0,10637,129,0,98.8,1.2,399001
Andhra Pradesh,2340676,0,2325943,14733,0,99.37,0.63,91702478
Arunachal Pradesh,67049,0,66753,296,0,99.56,0.44,1711947
Assam,746159,5,738119,8035,0,98.92,1.08,35998752
Bihar,855267,1,842952,12314,0,98.56,1.44,128500364
Chandigarh,100693,0,99508,1185,0,98.82,1.18,1158040
Chhattisgarh,1187695,0,1173505,14190,0,98.81,1.19,32199722
Dadra and Nagar Haveli and Daman and Diu,11592,0,11588,4,0,99.97,0.03,773997
Delhi,2040910,14,2014230,26666,0,98.69,1.31,19301096
Goa,263346,3,259329,4014,0,98.47,1.52,1521992
Gujarat,1291383,5,1280299,11079,0,99.14,0.86,70400153
Haryana,1078903,27,1068121,10755,0,99,1,28900667
Himachal Pradesh,322905,4,318660,4241,0,98.69,1.31,7503010
Jammu and Kashmir,482023,0,477231,4792,0,99.01,0.99,14999397
Jharkhand,443826,1,438491,5334,0,98.8,1.2,40100376
Karnataka,4088769,12,4048399,40358,0,99.01,0.99,69599762
Kerala,6907241,18,6835181,72042,0,98.96,1.04,34698876
Ladakh,29602,0,29371,231,0,99.22,0.78,290492
Lakshadweep,11415,0,11363,52,0,99.54,0.46,66001
Madhya Pradesh,1056351,0,1045565,10786,0,98.98,1.02,85002417
Maharashtra,8171048,214,8022276,148558,0,98.18,1.82,124904071
Manipur,140034,0,137885,2149,0,98.47,1.53,3436948
Meghalaya,96983,3,95352,1628,0,98.32,1.68,3772103
Mizoram,239560,1,238825,734,0,99.69,0.31,1308967
Nagaland,36033,0,35251,782,0,97.83,2.17,2073074
Odisha,1348409,59,1339135,9215,0,99.31,0.68,47099270
Puducherry,177547,0,175566,1981,0,98.88,1.12,1646050
Punjab,793644,1233,773073,19338,0.16,97.41,2.44,30501026
Rajasthan,1326465,2,1316727,9736,0,99.27,0.73,79502477
Sikkim,44927,4,44422,501,0.01,98.88,1.12,658019
Tamil Nadu,3610655,5,3572569,38081,0,98.95,1.05,83697770
Telengana,844432,8,840313,4111,0,99.51,0.49,38157311
Tripura,108493,1,107550,942,0,99.13,0.87,4184959
Uttar Pradesh,2145431,57,2121662,23712,0,98.89,1.11,231502578
Uttarakhand,452571,0,444803,7768,0,98.28,1.72,11700099
West Bengal,2126282,135,2104592,21555,0.01,98.98,1.01,100896618
